iso_time,unix_time,window_s,samplerate_hz,label,confidence
2025-12-26T01:16:19.235+03:00,1766700979.235,1.000,24000,Silence,1.000000
2025-12-26T01:16:21.627+03:00,1766700981.627,1.000,24000,Silence,1.000000
2025-12-26T01:16:24.622+03:00,1766700984.623,1.000,24000,Silence,0.997507
2025-12-26T01:16:28.382+03:00,1766700988.383,1.000,24000,Silence,0.612361
2025-12-26T01:16:31.784+03:00,1766700991.784,1.000,24000,Silence,1.000000
2025-12-26T01:16:34.796+03:00,1766700994.797,1.000,24000,Silence,0.492503
2025-12-26T01:16:37.772+03:00,1766700997.772,1.000,24000,Silence,1.000000
2025-12-26T01:16:40.771+03:00,1766701000.771,1.000,24000,Silence,1.000000
2025-12-26T01:16:44.353+03:00,1766701004.354,1.000,24000,Silence,1.000000
2025-12-26T01:16:47.323+03:00,1766701007.323,1.000,24000,Silence,1.000000
2025-12-26T01:16:50.331+03:00,1766701010.331,1.000,24000,Silence,1.000000
2025-12-26T01:16:53.322+03:00,1766701013.323,1.000,24000,Silence,1.000000
2025-12-26T01:16:56.322+03:00,1766701016.322,1.000,24000,Silence,0.999995
2025-12-26T01:16:59.573+03:00,1766701019.573,1.000,24000,Silence,1.000000
2025-12-26T01:17:02.568+03:00,1766701022.569,1.000,24000,Silence,0.999883
2025-12-26T01:17:05.631+03:00,1766701025.632,1.000,24000,Silence,0.998529
2025-12-26T01:17:08.946+03:00,1766701028.947,1.000,24000,Silence,0.999955
2025-12-26T01:17:11.849+03:00,1766701031.849,1.000,24000,Silence,1.000000
2025-12-26T01:17:14.829+03:00,1766701034.829,1.000,24000,Silence,1.000000
2025-12-26T01:17:17.836+03:00,1766701037.837,1.000,24000,Silence,1.000000
2025-12-26T01:17:20.832+03:00,1766701040.833,1.000,24000,Silence,0.998406
2025-12-26T01:17:23.839+03:00,1766701043.839,1.000,24000,Silence,0.809153
2025-12-26T01:17:26.853+03:00,1766701046.853,1.000,24000,Silence,1.000000
2025-12-26T01:17:29.844+03:00,1766701049.844,1.000,24000,Silence,1.000000
2025-12-26T01:17:32.855+03:00,1766701052.856,1.000,24000,Silence,1.000000
2025-12-26T01:17:35.854+03:00,1766701055.855,1.000,24000,Silence,1.000000
2025-12-26T01:17:38.840+03:00,1766701058.841,1.000,24000,Silence,1.000000
2025-12-26T01:17:42.135+03:00,1766701062.136,1.000,24000,Silence,1.000000
2025-12-26T01:17:45.126+03:00,1766701065.126,1.000,24000,Silence,1.000000
2025-12-26T01:17:48.269+03:00,1766701068.270,1.000,24000,Silence,1.000000
2025-12-26T01:17:51.145+03:00,1766701071.146,1.000,24000,Silence,1.000000
2025-12-26T01:17:54.149+03:00,1766701074.149,1.000,24000,Silence,1.000000
2025-12-26T01:17:57.160+03:00,1766701077.160,1.000,24000,Silence,1.000000
2025-12-26T01:18:00.133+03:00,1766701080.134,1.000,24000,Silence,1.000000
2025-12-26T01:18:03.147+03:00,1766701083.148,1.000,24000,Silence,0.999750
2025-12-26T01:18:06.135+03:00,1766701086.136,1.000,24000,Silence,1.000000
2025-12-26T01:18:09.211+03:00,1766701089.211,1.000,24000,Silence,0.908303
2025-12-26T01:18:12.577+03:00,1766701092.577,1.000,24000,Silence,1.000000
2025-12-26T01:18:15.166+03:00,1766701095.166,1.000,24000,Silence,1.000000
2025-12-26T01:18:18.144+03:00,1766701098.145,1.000,24000,Silence,1.000000
2025-12-26T01:18:21.204+03:00,1766701101.205,1.000,24000,Silence,0.999999
2025-12-26T01:18:24.151+03:00,1766701104.152,1.000,24000,Silence,1.000000
2025-12-26T01:18:27.120+03:00,1766701107.121,1.000,24000,Silence,1.000000
2025-12-26T01:18:30.127+03:00,1766701110.127,1.000,24000,Silence,1.000000
2025-12-26T01:18:33.164+03:00,1766701113.164,1.000,24000,Silence,1.000000
2025-12-26T01:18:36.151+03:00,1766701116.152,1.000,24000,Silence,0.999995
2025-12-26T01:18:39.122+03:00,1766701119.122,1.000,24000,Silence,0.999998
2025-12-26T01:18:42.134+03:00,1766701122.135,1.000,24000,Silence,0.999997
2025-12-26T01:18:45.137+03:00,1766701125.137,1.000,24000,Silence,1.000000
2025-12-26T01:18:48.123+03:00,1766701128.124,1.000,24000,Silence,1.000000
2025-12-26T01:18:51.144+03:00,1766701131.145,1.000,24000,Silence,1.000000
2025-12-26T01:18:54.146+03:00,1766701134.146,1.000,24000,Silence,1.000000
2025-12-26T01:18:57.140+03:00,1766701137.141,1.000,24000,Silence,1.000000
2025-12-26T01:19:00.161+03:00,1766701140.162,1.000,24000,Silence,0.999999
2025-12-26T01:19:03.137+03:00,1766701143.137,1.000,24000,Silence,1.000000
2025-12-26T01:19:06.123+03:00,1766701146.123,1.000,24000,Silence,1.000000
2025-12-26T01:19:09.122+03:00,1766701149.122,1.000,24000,Silence,0.999780
2025-12-26T01:19:12.122+03:00,1766701152.123,1.000,24000,Silence,0.998864
2025-12-26T01:19:15.169+03:00,1766701155.169,1.000,24000,Silence,1.000000
2025-12-26T01:19:18.151+03:00,1766701158.151,1.000,24000,Silence,1.000000
2025-12-26T01:19:21.158+03:00,1766701161.159,1.000,24000,Silence,1.000000
2025-12-26T01:19:24.125+03:00,1766701164.125,1.000,24000,Silence,1.000000
