iso_time,unix_time,window_s,samplerate_hz,speech,crowd,music,dog,cat,bird,vehicle_horn,traffic_road,car_bus_truck,sirens,rail,aircraft,engine_motion,alarms_buzzer,phone_ring,wind_rain,door_knock,glass_break,explosion_gunshot,Silence,other
2025-12-26T01:16:19.227+03:00,1766700979.228,1.000,24000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
2025-12-26T01:16:21.626+03:00,1766700981.626,1.000,24000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
2025-12-26T01:16:24.622+03:00,1766700984.622,1.000,24000,0.000734,0.000000,0.000343,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000066,0.000000,0.000000,0.997507,0.001346
2025-12-26T01:16:28.342+03:00,1766700988.343,1.000,24000,0.126882,0.000183,0.018674,0.005210,0.014814,0.005342,0.000048,0.000242,0.000238,0.000362,0.000112,0.000117,0.000064,0.001052,0.001296,0.000894,0.000512,0.000000,0.000131,0.612361,0.211464
2025-12-26T01:16:31.783+03:00,1766700991.783,1.000,24000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
2025-12-26T01:16:34.796+03:00,1766700994.796,1.000,24000,0.011678,0.000003,0.000716,0.000629,0.000262,0.002689,0.000000,0.000067,0.000083,0.000002,0.000003,0.000002,0.000097,0.000028,0.000079,0.000337,0.003996,0.000043,0.000044,0.492503,0.486738
2025-12-26T01:16:37.771+03:00,1766700997.772,1.000,24000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
2025-12-26T01:16:40.771+03:00,1766701000.771,1.000,24000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
2025-12-26T01:16:44.352+03:00,1766701004.353,1.000,24000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
2025-12-26T01:16:47.321+03:00,1766701007.322,1.000,24000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
